hr,rr,stress,time,real_time
hr,rr,stress,time,real_time
72,[0.9],0,00:08:23,00:04:56
72,"[0.84, 0.844]",0,00:08:24,00:04:57
72,[0.852],0,00:08:25,00:04:58
72,[0.792],0,00:08:26,00:04:59
73,"[0.692, 0.64]",0,00:08:27,00:05:00
74,[0.752],0,00:08:28,00:05:01
75,[0.928],0,00:08:29,00:05:02
75,"[0.82, 0.724]",0,00:08:30,00:05:04
75,[0.716],0,00:08:31,00:05:05
76,[0.76],0,00:08:32,00:05:06
77,"[0.7, 0.656]",0,00:08:33,00:05:07
79,[0.616],0,00:08:34,00:05:08
81,"[0.608, 0.656]",0,00:08:35,00:05:09
83,[0.652],0,00:08:36,00:05:10
84,"[0.656, 0.608]",0,00:08:37,00:05:11
85,"[0.6, 0.656]",0,00:08:38,00:05:12
87,[0.62],0,00:08:39,00:05:13
87,"[0.704, 0.708]",0,00:08:40,00:05:14
87,[0.708],0,00:08:41,00:05:15
86,[0.72],0,00:08:42,00:05:16
86,"[0.748, 0.688]",0,00:08:43,00:05:17
86,[0.684],0,00:08:44,00:05:18
86,[0.752],0,00:08:45,00:05:19
85,"[0.716, 0.708]",0,00:08:46,00:05:20
85,[0.832],0,00:08:47,00:05:20
84,[0.956],0,00:08:48,00:05:21
83,[0.92],0,00:08:49,00:05:22
82,[0.896],0,00:08:50,00:05:23
81,"[0.78, 0.8]",0,00:08:51,00:05:24
80,[0.732],0,00:08:52,00:05:25
81,[0.732],0,00:08:53,00:05:26
81,[0.728],0,00:08:54,00:05:27
79,"[0.856, 0.928]",0,00:08:55,00:05:28
78,[0.9],0,00:08:56,00:05:29
77,[0.864],0,00:08:57,00:05:30
76,[0.76],0,00:08:58,00:05:31
77,"[0.66, 0.624]",0,00:08:59,00:05:32
78,[0.62],0,00:09:00,00:05:33
79,"[0.788, 0.744]",0,00:09:01,00:05:34
79,[0.668],0,00:09:02,00:05:35
80,"[0.62, 0.592]",0,00:09:03,00:05:36
82,"[0.572, 0.564]",0,00:09:04,00:05:37
85,"[0.544, 0.532]",0,00:09:05,00:05:38
89,"[0.524, 0.52]",0,00:09:06,00:05:39
92,"[0.516, 0.512]",0,00:09:07,00:05:40
96,"[0.504, 0.504]",0,00:09:08,00:05:41
98,"[0.504, 0.5]",0,00:09:09,00:05:42
101,[0.52],0,00:09:10,00:05:43
102,"[0.536, 0.548]",0,00:09:11,00:05:44
103,"[0.536, 0.52]",0,00:09:12,00:05:45
104,"[0.52, 0.548]",0,00:09:13,00:05:46
105,"[0.552, 0.548]",0,00:09:14,00:05:47
106,"[0.54, 0.52]",0,00:09:15,00:05:48
108,"[0.512, 0.5]",0,00:09:16,00:05:49
109,"[0.5, 0.496]",0,00:09:17,00:05:50
110,[0.52],0,00:09:18,00:05:51
110,"[0.532, 0.516]",0,00:09:19,00:05:52
110,"[0.532, 0.572]",0,00:09:20,00:05:54
109,[0.632],0,00:09:21,00:05:55
108,"[0.724, 0.832]",0,00:09:22,00:05:56
107,[0.828],0,00:09:23,00:05:57
105,[0.744],0,00:09:24,00:05:58
104,"[0.644, 0.604]",0,00:09:25,00:05:59
103,"[0.584, 0.584]",0,00:09:26,00:06:00
103,[0.58],0,00:09:27,00:06:01
102,"[0.632, 0.684]",0,00:09:28,00:06:02
101,"[0.664, 0.668]",0,00:09:29,00:06:03
99,[0.652],0,00:09:30,00:06:04
99,"[0.624, 0.584]",0,00:09:31,00:06:05
100,"[0.56, 0.556]",0,00:09:32,00:06:06
100,[0.608],0,00:09:33,00:06:07
101,"[0.6, 0.58]",0,00:09:34,00:06:08
101,"[0.572, 0.588]",0,00:09:35,00:06:09
101,[0.596],0,00:09:36,00:06:10
101,"[0.616, 0.592]",0,00:09:38,00:06:11
